Actual,Error,Item_id,Predicted,Store_id,Sum Actual,Sum Predicted
[3 2 0 0 0 0 0 0 0],460.0,228,[ 1.  2.  2.  4.  3.  2.  4.  4.  6.],222,5,28.0
[1 1 1 1 1 0 1 2 1],11.1111111111,228,[ 0.  1.  0.  0.  1.  1.  2.  2.  1.],223,9,8.0
[1 1 0 0 0 0 1 0 1],300.0,228,[ 1.  1.  2.  2.  3.  1.  2.  3.  1.],224,4,16.0
[ 2 -1  0  0  0  2  1  1  1],83.3333333333,228,[ 1.  0.  1.  1.  1.  0.  1.  2.  4.],225,6,11.0
[0 5 1 0 1 1 1 2 2],184.615384615,228,[ 3.  2.  3.  9.  7.  7.  3.  2.  1.],226,13,37.0
[0 1 1 0 0 1 0 2 4],66.6666666667,228,[ 3.  4.  1.  2.  1.  1.  1.  1.  1.],227,9,15.0
[1 2 1 1 0 1 0 0 0],166.666666667,228,[ 3.  2.  1.  1.  1.  3.  2.  1.  2.],228,6,16.0
[0 0 0 0 0 0 0 0 1],400.0,228,[ 1.  0.  1.  2.  0.  0.  0.  0.  1.],229,1,5.0
[0 0 2 2 2 0 1 0 0],42.8571428571,228,[ 1.  0.  0.  0.  0.  1.  1.  0.  1.],230,7,4.0
[0 0 1 0 1 0 0 0 0],0.0,228,[ 0.  0.  0.  1.  0.  1.  0.  0.  0.],231,2,2.0
[1 1 2 0 0 0 2 1 2],266.666666667,228,[ 3.  2.  3.  3.  2.  7.  5.  5.  3.],232,9,33.0
[0 0 0 2 2 4 0 0 0],37.5,228,[ 2.  3.  0.  2.  2.  0.  1.  1.  0.],234,8,11.0
[0 0 0 0 0 0 3 2 1],166.666666667,228,[ 1.  2.  2.  2.  2.  3.  2.  1.  1.],235,6,16.0
[0 0 1 0 1 1 1 0 1],20.0,228,[ 0.  0.  1.  0.  2.  0.  2.  1.  0.],236,5,6.0
[2 1 1 1 0 0 0 0 4],266.666666667,228,[ 5.  3.  4.  2.  3.  3.  3.  5.  5.],237,9,33.0
[0 0 0 1 1 0 1 1 2],133.333333333,228,[ 3.  2.  0.  2.  1.  2.  1.  1.  2.],238,6,14.0
[1 4 1 0 1 3 0 1 3],85.7142857143,228,[ 2.  2.  5.  4.  5.  1.  4.  2.  1.],240,14,26.0
[0 3 4 0 0 0 0 0 0],100.0,228,[ 3.  4.  2.  1.  0.  1.  1.  1.  1.],241,7,14.0
