Actual,Error,Item_id,Predicted,Store_id
[0 2 0 1 1 1 0 1 2],0.888888888889,228,[ 0.  0.  0.  0.  0.  0.  0.  2.  4.],291
[0 0 2 0 1 3 2 2 2],1.0,228,[ 0.  2.  1.  0.  1.  0.  1.  0.  2.],292
[0 0 0 1 3 1 1 1 4],1.0,228,[ 0.  0.  0.  0.  0.  1.  2.  2.  1.],293
[ 0 -1  0  0  1  0  1  1  1],0.777777777778,228,[ 1.  0.  1.  0.  0.  0.  1.  3.  2.],294
[1 1 0 2 0 0 1 1 1],1.0,228,[ 2.  3.  1.  1.  1.  1.  0.  1.  2.],295
[0 0 0 0 1 0 0 2 1],1.77777777778,228,[ 1.  1.  3.  1.  4.  2.  3.  2.  3.],296
[1 0 3 1 0 0 0 2 1],2.11111111111,228,[ 3.  4.  1.  4.  1.  1.  2.  2.  5.],297
[0 3 0 3 1 1 0 0 1],3.77777777778,228,[  3.   6.   3.   6.   3.   3.   5.  12.   2.],298
[0 0 0 1 1 1 1 1 1],1.22222222222,228,[ 0.  1.  3.  0.  4.  2.  2.  1.  2.],299
[1 2 0 1 2 2 1 1 0],1.22222222222,228,[ 3.  3.  1.  3.  1.  3.  1.  2.  2.],303
[0 1 0 1 0 0 0 1 2],1.55555555556,228,[ 1.  4.  2.  0.  4.  0.  0.  0.  0.],304
[0 1 0 0 1 0 0 1 1],0.777777777778,228,[ 0.  0.  1.  0.  0.  0.  3.  1.  0.],305
[0 4 1 2 2 0 0 1 0],1.55555555556,228,[ 1.  1.  2.  3.  4.  1.  1. -1.  2.],306
[1 0 0 0 0 0 1 2 1],1.0,228,[ 1.  3.  1.  0.  0.  1.  0.  0.  0.],307
[3 0 0 6 0 0 2 1 1],1.0,228,[ 1.  0.  1.  4.  0.  0.  0.  0.  0.],308
[1 0 0 0 0 0 0 0 0],0.333333333333,228,[ 0.  0.  0.  0.  0.  1.  0.  0.  1.],309
[1 1 1 2 1 1 1 1 1],0.888888888889,228,[ 1.  3.  1.  2.  4.  1.  2.  2.  2.],310
[0 2 0 0 1 3 3 3 3],1.55555555556,228,[ 2.  5.  2.  1.  1.  1.  1.  4.  4.],311
[0 1 0 0 2 2 0 0 0],0.888888888889,228,[ 0.  1.  2.  2.  1.  0.  0.  0.  1.],312
[ 1  0  0  1  0  0  0  1 -1],0.555555555556,228,[ 1.  1.  0.  0.  0.  0.  1.  0.  0.],313
[0 0 1 0 1 0 1 1 2],1.11111111111,228,[ 1.  0.  0.  0.  0.  1.  3.  3.  0.],314
[1 0 0 0 0 0 1 1 5],1.77777777778,228,[ 3.  2.  3.  2.  2.  1.  1.  1.  1.],315
[0 1 2 7 1 0 0 1 1],2.33333333333,228,[ 2.  4.  2.  8.  7.  5.  2.  3.  1.],317
[1 0 0 0 0 0 0 1 1],0.222222222222,228,[ 0.  0.  0.  0.  0.  0.  0.  1.  2.],318
[0 0 0 1 0 1 2 1 2],2.66666666667,228,[ 4.  3.  3.  8.  5.  1.  3.  1.  1.],319
[0 0 0 0 0 1 0 0 1],0.444444444444,228,[ 0.  0.  0.  2.  1.  0.  0.  0.  1.],320
[4 1 1 2 0 4 2 1 1],3.0,228,[ 4.  8.  9.  7.  2.  2.  3.  2.  2.],322
[0 1 1 1 0 0 1 1 1],1.44444444444,228,[ 1.  3.  1.  7.  0.  1.  0.  3.  1.],323
[0 1 1 0 0 0 1 0 2],1.44444444444,228,[ 2.  1.  1.  0.  1.  1.  4.  4.  0.],324
[3 1 0 1 2 1 2 1 3],4.88888888889,228,[  3.   6.   4.   4.   6.  11.  13.   7.   2.],325
[1 0 1 1 0 1 1 2 1],0.333333333333,228,[ 1.  0.  2.  1.  0.  2.  1.  1.  1.],327
[0 2 0 0 0 1 1 1 1],0.777777777778,228,[ 1.  0.  0.  1.  1.  2.  1.  1.  0.],329
[0 2 0 0 0 1 1 1 2],1.22222222222,228,[ 1.  1.  1.  3.  1.  1.  3.  2.  1.],330
[0 0 1 1 2 0 0 0 1],0.555555555556,228,[ 0.  0.  1.  0.  3.  2.  0.  1.  1.],331
[2 0 4 1 1 1 1 0 6],3.33333333333,228,[ 5.  3.  2.  3.  5.  6.  4.  5.  3.],332
[2 0 0 1 1 0 3 1 1],1.11111111111,228,[ 0.  2.  1.  1.  2.  2.  2.  0.  1.],333
[0 0 1 0 0 2 2 1 1],1.0,228,[ 0.  1.  0.  1.  1.  0.  1.  2.  0.],334
[ 0  0  0  1  0  0  0  1 -1],0.666666666667,228,[ 0.  0.  0.  0.  1.  2.  0.  1.  1.],335
[1 2 2 1 2 1 2 1 7],1.11111111111,228,[ 0.  1.  1.  1.  2.  2.  1.  1.  2.],336
[ 2  0 -1  0  2  0  1  0  1],2.0,228,[ 3.  4.  1.  4.  4.  2.  2.  2.  1.],337
